,name,date,headline,intro
0,Welt,01/06/2021,Mit;sich;Mars;Landung;kommen;China;der;USA;gefährlich;nah,-
1,Welt,01/06/2021,der;Politik;stürzen;der;Arzt;in;ein;kaum;lösbar;Konflikt,ab;nächst;Woche;sollen;Kind;ab;zwölf;Jahr;gegen;Corona;impfen;werden;Zuständig;sein;der;Arzt;der;sein;zwingen;zum;wiederholen;Mal;gegen;mein;Berufsethos;zu;handeln;der;Konflikt;verlaufen;zwischen;medizinisch;Grund;und;einer;Sehnsucht;viel;Kind
2,Welt,01/06/2021,WHO;benennen;Virusvarianten;um;um;Diskriminierung;zu;verhindern,der;Weltgesundheitsorganisation;wollen;besorgniserregend;Virusvarianten;nicht;lang;als;britische;brasilianische;oder;indisch;Mutation;bezeichnen;Stattdessen;sollen;griechische;Buchstabe;der;Variante;kennzeichnen;all;Entwicklung;im;Live;Ticker
3,Welt,01/06/2021,der;Bundesnotbremse;fällen;weg;doch;einen;letzt;Zweifel;bleiben,Angela;Merkel;deuten;vorige;Woche;einen;möglich;Fortsetzung;der;Corona;Notbremse;an;doch;der;Widerstand;aus;Bundestag;und;Land;sein;groß;Nun;scheren;der;Kanzlerin;einen;Zumindest;bis;auf;Weiteres
4,Welt,01/06/2021,Unerträgliche;Arroganz;spalten;Gesellschaft;Linke;gehen;Baerbock;scharf;an,um;insgesamt;16;Cent;wollen;Annalena;Baerbock;der;Benzinpreis;erhöhen;Heftige;Gegenwind;erfahren;der;Grüne;Kanzlerkandidatin;jetzt;von;der;Linke;Deren;Fraktionschefin;Amira;Mohamed;Ali;finden;deutlich;Wort;zu;Baerbocks;Vorstoß
5,Welt,01/06/2021,Zahl;der;Privatpleiten;steigen;zu;Jahresbeginn;sprunghaft;an,31;821;Privatinsolvenzen;geben;ich;im;erst;Quartal;2021;in;Deutschland;über;50;Prozent;mehr;als;noch;in;der;erst;drei;Monat;der;Vorjahr;Dabei;dürfen;der;Coronakrise;im;Lauf;der;Jahr;erst;noch;richtig;durchschlagen;mein;Experte
6,Welt,01/06/2021,Corona;Energie;Bildung;der;sein;der;Streitthemen;beim;TV;Duell,Am;Sonntag;werden;in;Sachsen;Anhalt;wählen;In;der;MDR;Wahl;Arena;treffen;der;Spitzenkandidaten;von;CDU;SPD;Grüne;AfD;Linkspartei;und;FDP;aufeinander;WELT;fasst;der;wichtig;Aussage;zusammen
7,Welt,01/06/2021,Leben;wo;niemand;mehr;arbeiten,der;leer;Stadt;sein;zum;Bild;der;Pandemie;werden;Vom;Wertverfall;der;Gewerbeimmobilien;werden;ich;sich;nie;wieder;erholen;Deswegen;werden;ich;ein;gewaltig;Bauboom;erleben;wenn;dabei;der;groß;Fehler;der;letzt;100;Jahr;nicht;mehr;machen;werden
8,Welt,01/06/2021,Elon;Musk;starten;mit;SpaceX;bald;von;der;Bohrinsel,SpaceX;wollen;mein;Rakete;zukünftig;von;zwei;ausgemustert;Erdölplattformen;starten;lassen;der;120;Meter;hoch;Starship;Exemplar;stellen;an;Land;offenbaren;einen;zu;groß;Lärmbelästigung;dar;Mit;der;neu;Methode;sein;selbst;Interkontinentalflüge;denkbar;sinnieren;Elon;Musk
9,Welt,01/06/2021,Dieses;Urteil;bringen;künftig;Rentner;mehr;Geld;fürs;alt,der;Richter;der;Bundesfinanzhofs;veranlassen;einen;Änderung;der;aktuell;Rentenbesteuerung;Nur;so;können;einen;Doppelbesteuerung;vermeiden;werden;Für;künftig;Rentner;bedeuten;der;mehr;Geld;Eine;Gruppe;werden;besonders;profitieren
10,Welt,01/06/2021,Kommen;Folter;gleichen;Nawalny;fordern;Ende;nächtlich;Kontrolle;in;Haft,Weg;angeblich;Fluchtgefahr;werden;Alexej;Nawalnys;Zelle;im;russisch;Straflager;nachts;stündlich;kontrollieren;der;Oppositionsführer;wehren;sich;dagegen;und;finden;gegenüber;einer;Richter;deutlich;Wort
11,Welt,01/06/2021,Fast;waffentauglich;Iran;besitzen;2;4;Kilogramm;hochangereichertes;Uran,der;Iran;haben;rund;16;mal;so;viel;Uran;herstellen;wie;vereinbart;Ein;Teil;davon;haben;ein;Reinheitsgrad;von;bis;zu;60;Prozent;und;sein;damit;fast;waffentauglich;der;Internationale;Atomenergiebehörde;zeigen;sich;tief;besorgen;über;der;Entwicklung
12,Welt,01/06/2021,der;Wert;Union;machen;Wahlkampf;für;AfD;und;Grüner,Mit;der;Wahl;Max;Ottes;zum;Vorsitzende;haben;sich;der;Wert;Union;vom;Rand;der;CDU;ins;Aus;schießen;und;der;Partei;insgesamt;schaden;ich;zeigen;wie;blank;der;CDU;rechts;der;Mitte;sein;ich;haben;mein;konservativ;Flügel;und;damit;viel;Wähler;verlieren
