,name,date,headline,intro
0,Welt,01/06/2021,Mars;Landung;China;USA;gefährlich;nah,-
1,Welt,01/06/2021,Politik;stürzen;Arzt;lösbar;Konflikt,nächst;Woche;Kind;zwölf;Corona;impfen;Zuständig;Arzt;zwingen;wiederholen;Mal;Berufsethos;handeln;Konflikt;verlaufen;medizinisch;Grund;Sehnsucht;viel;Kind
2,Welt,01/06/2021,WHO;benennen;Virusvarianten;Diskriminierung;verhindern,Weltgesundheitsorganisation;besorgniserregend;Virusvarianten;lang;britische;brasilianische;indisch;Mutation;bezeichnen;Stattdessen;griechische;Buchstabe;Variante;kennzeichnen;Entwicklung;Live;Ticker
3,Welt,01/06/2021,Bundesnotbremse;fällen;weg;letzt;Zweifel;bleiben,Angela;Merkel;deuten;vorige;Woche;möglich;Fortsetzung;Corona;Notbremse;Widerstand;Bundestag;Land;scheren;Kanzlerin;Zumindest
4,Welt,01/06/2021,Unerträgliche;Arroganz;spalten;Gesellschaft;Linke;Baerbock;scharf,insgesamt;16;Cent;Annalena;Baerbock;Benzinpreis;erhöhen;Heftige;Gegenwind;erfahren;Grüne;Kanzlerkandidatin;Linke;Fraktionschefin;Amira;Mohamed;Ali;finden;deutlich;Wort;Baerbocks;Vorstoß
5,Welt,01/06/2021,Zahl;Privatpleiten;steigen;Jahresbeginn;sprunghaft,31;821;Privatinsolvenzen;Quartal;2021;Deutschland;50;Prozent;Monat;Vorjahr;dürfen;Coronakrise;Lauf;Jahr;durchschlagen;Experte
6,Welt,01/06/2021,Corona;Energie;Bildung;Streitthemen;TV;Duell,Sonntag;Sachsen;Anhalt;wählen;MDR;Wahl;Arena;treffen;Spitzenkandidaten;CDU;SPD;Grüne;AfD;Linkspartei;FDP;aufeinander;WELT;fasst;wichtig;Aussage
7,Welt,01/06/2021,Leben;arbeiten,leer;Stadt;Bild;Pandemie;Wertverfall;Gewerbeimmobilien;erholen;gewaltig;Bauboom;erleben;groß;Fehler;letzt;100
8,Welt,01/06/2021,Elon;Musk;starten;SpaceX;Bohrinsel,SpaceX;Rakete;zukünftig;ausgemustert;Erdölplattformen;starten;lassen;120;Meter;hoch;Starship;Exemplar;stellen;Land;offenbaren;Lärmbelästigung;dar;Methode;Interkontinentalflüge;denkbar;sinnieren;Elon;Musk
9,Welt,01/06/2021,Urteil;bringen;künftig;Rentner;Geld;fürs;alt,Richter;Bundesfinanzhofs;veranlassen;Änderung;aktuell;Rentenbesteuerung;können;Doppelbesteuerung;vermeiden;künftig;Rentner;bedeuten;Geld;Gruppe;profitieren
10,Welt,01/06/2021,Folter;Nawalny;fordern;nächtlich;Kontrolle;Haft,angeblich;Fluchtgefahr;Alexej;Nawalnys;Zelle;russisch;Straflager;nachts;stündlich;kontrollieren;Oppositionsführer;wehren;finden;Richter;deutlich;Wort
11,Welt,01/06/2021,Fast;waffentauglich;Iran;besitzen;2;4;Kilogramm;hochangereichertes;Uran,Iran;16;mal;Uran;herstellen;vereinbart;Reinheitsgrad;60;Prozent;fast;waffentauglich;Internationale;Atomenergiebehörde;zeigen;tief;besorgen;Entwicklung
12,Welt,01/06/2021,Wert;Union;Wahlkampf;AfD;Grüner,Wahl;Max;Ottes;Vorsitzende;Wert;Union;Rand;CDU;schießen;Partei;insgesamt;schaden;zeigen;blank;CDU;rechts;Mitte;konservativ;Flügel;Wähler;verlieren
